child_unique_id,child_object,child_resource_type,parent_unique_id,parent_object,parent_resource_type,generated_at
model.browserbase_warehouse.stg_invoices,silver.stg_invoices,model,source.browserbase_warehouse.bronze_supabase.invoices,bronze_supabase.invoices,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_gtm_activities,silver.stg_gtm_activities,model,source.browserbase_warehouse.bronze_supabase_gtm.activities,bronze_supabase.activities,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_gtm_contacts,silver.stg_gtm_contacts,model,source.browserbase_warehouse.bronze_supabase_gtm.contacts,bronze_supabase.contacts,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_finance_cards,silver.stg_finance_cards,model,source.browserbase_warehouse.bronze_supabase_finance.cards,bronze_supabase.cards,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_gtm_employees,silver.stg_gtm_employees,model,source.browserbase_warehouse.bronze_supabase_gtm.employees,bronze_supabase.employees,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_gtm_campaigns,silver.stg_gtm_campaigns,model,source.browserbase_warehouse.bronze_supabase_gtm.campaigns,bronze_supabase.campaigns,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_finance_bill_payments,silver.stg_finance_bill_payments,model,source.browserbase_warehouse.bronze_supabase_finance.bill_payments,bronze_supabase.bill_payments,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_session_events,silver.stg_session_events,model,source.browserbase_warehouse.bronze_supabase.session_events,bronze_supabase.session_events,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_gtm_opportunities,silver.stg_gtm_opportunities,model,source.browserbase_warehouse.bronze_supabase_gtm.opportunities,bronze_supabase.opportunities,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_users,silver.stg_users,model,source.browserbase_warehouse.bronze_supabase.users,bronze_supabase.users,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_finance_transactions,silver.stg_finance_transactions,model,source.browserbase_warehouse.bronze_supabase_finance.transactions,bronze_supabase.transactions,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_gtm_accounts,silver.stg_gtm_accounts,model,source.browserbase_warehouse.bronze_supabase_gtm.accounts,bronze_supabase.accounts,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_subscriptions,silver.stg_subscriptions,model,source.browserbase_warehouse.bronze_supabase.subscriptions,bronze_supabase.subscriptions,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_finance_bills,silver.stg_finance_bills,model,source.browserbase_warehouse.bronze_supabase_finance.bills,bronze_supabase.bills,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_finance_reimbursements,silver.stg_finance_reimbursements,model,source.browserbase_warehouse.bronze_supabase_finance.reimbursements,bronze_supabase.reimbursements,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_gtm_leads,silver.stg_gtm_leads,model,source.browserbase_warehouse.bronze_supabase_gtm.leads,bronze_supabase.leads,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_finance_payment_reversals,silver.stg_finance_payment_reversals,model,source.browserbase_warehouse.bronze_supabase_finance.payment_reversals,bronze_supabase.payment_reversals,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_organizations,silver.stg_organizations,model,source.browserbase_warehouse.bronze_supabase.organizations,bronze_supabase.organizations,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_finance_bill_adjustments,silver.stg_finance_bill_adjustments,model,source.browserbase_warehouse.bronze_supabase_finance.bill_adjustments,bronze_supabase.bill_adjustments,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_finance_vendors,silver.stg_finance_vendors,model,source.browserbase_warehouse.bronze_supabase_finance.vendors,bronze_supabase.vendors,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_plans,silver.stg_plans,model,source.browserbase_warehouse.bronze_supabase.plans,bronze_supabase.plans,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_gtm_lead_touches,silver.stg_gtm_lead_touches,model,source.browserbase_warehouse.bronze_supabase_gtm.lead_touches,bronze_supabase.lead_touches,source,2026-03-05T04:55:49.062542+00:00
model.browserbase_warehouse.stg_finance_departments,silver.stg_finance_departments,model,source.browserbase_warehouse.bronze_supabase_finance.departments,bronze_supabase.departments,source,2026-03-05T04:55:49.062542+00:00
